time,T,P0,P,U,Td
2022/9/1 0:00,0.703703704,0.234782609,0.233766234,0.86746988,0.945945946
2022/9/1 1:00,0.740740741,0.234782609,0.233766234,0.807228916,0.945945946
2022/9/1 2:00,0.740740741,0.2,0.199134199,0.746987952,0.918918919
2022/9/1 3:00,0.740740741,0.2,0.199134199,0.746987952,0.918918919
2022/9/1 4:00,0.703703704,0.2,0.199134199,0.807228916,0.918918919
2022/9/1 5:00,0.703703704,0.2,0.199134199,0.807228916,0.918918919
2022/9/1 6:00,0.703703704,0.234782609,0.233766234,0.807228916,0.918918919
2022/9/1 7:00,0.703703704,0.234782609,0.233766234,0.807228916,0.918918919
2022/9/1 8:00,0.777777778,0.265217391,0.264069264,0.698795181,0.918918919
2022/9/1 9:00,0.814814815,0.265217391,0.264069264,0.638554217,0.918918919
2022/9/1 10:00,0.814814815,0.265217391,0.264069264,0.638554217,0.918918919
2022/9/1 11:00,0.851851852,0.265217391,0.264069264,0.602409639,0.918918919
2022/9/1 12:00,0.851851852,0.265217391,0.264069264,0.602409639,0.918918919
2022/9/1 13:00,0.888888889,0.234782609,0.233766234,0.602409639,0.945945946
2022/9/1 14:00,0.925925926,0.2,0.199134199,0.506024096,0.918918919
2022/9/1 15:00,0.925925926,0.165217391,0.164502165,0.469879518,0.891891892
2022/9/1 16:00,0.888888889,0.165217391,0.164502165,0.554216867,0.918918919
2022/9/1 17:00,0.888888889,0.165217391,0.164502165,0.554216867,0.918918919
2022/9/1 18:00,0.851851852,0.2,0.199134199,0.554216867,0.891891892
2022/9/1 19:00,0.851851852,0.2,0.199134199,0.554216867,0.891891892
2022/9/1 20:00,0.814814815,0.234782609,0.233766234,0.590361446,0.891891892
2022/9/1 21:00,0.777777778,0.234782609,0.233766234,0.638554217,0.891891892
2022/9/1 22:00,0.814814815,0.265217391,0.264069264,0.590361446,0.891891892
2022/9/1 23:00,0.777777778,0.234782609,0.233766234,0.638554217,0.891891892
2022/9/2 0:00,0.777777778,0.234782609,0.233766234,0.638554217,0.891891892
2022/9/2 1:00,0.740740741,0.234782609,0.233766234,0.638554217,0.864864865
2022/9/2 2:00,0.740740741,0.2,0.199134199,0.638554217,0.864864865
2022/9/2 3:00,0.703703704,0.165217391,0.164502165,0.686746988,0.864864865
2022/9/2 4:00,0.703703704,0.165217391,0.164502165,0.638554217,0.837837838
2022/9/2 5:00,0.703703704,0.2,0.199134199,0.590361446,0.810810811
2022/9/2 6:00,0.666666667,0.2,0.199134199,0.638554217,0.810810811
2022/9/2 7:00,0.666666667,0.234782609,0.233766234,0.638554217,0.810810811
2022/9/2 8:00,0.740740741,0.234782609,0.233766234,0.542168675,0.810810811
2022/9/2 9:00,0.740740741,0.234782609,0.233766234,0.542168675,0.810810811
2022/9/2 10:00,0.814814815,0.234782609,0.233766234,0.421686747,0.783783784
2022/9/2 11:00,0.814814815,0.2,0.199134199,0.457831325,0.810810811
2022/9/2 12:00,0.851851852,0.165217391,0.164502165,0.421686747,0.810810811
2022/9/2 13:00,0.851851852,0.165217391,0.164502165,0.457831325,0.837837838
2022/9/2 14:00,0.851851852,0.134782609,0.134199134,0.457831325,0.837837838
2022/9/2 15:00,0.888888889,0.1,0.0995671,0.385542169,0.810810811
2022/9/2 16:00,0.851851852,0.1,0.0995671,0.421686747,0.810810811
2022/9/2 17:00,0.851851852,0.1,0.0995671,0.421686747,0.810810811
2022/9/2 18:00,0.814814815,0.1,0.0995671,0.421686747,0.783783784
2022/9/2 19:00,0.814814815,0.134782609,0.134199134,0.421686747,0.783783784
2022/9/2 20:00,0.777777778,0.134782609,0.134199134,0.457831325,0.783783784
2022/9/2 21:00,0.814814815,0.165217391,0.164502165,0.421686747,0.783783784
2022/9/2 22:00,0.740740741,0.165217391,0.164502165,0.493975904,0.783783784
2022/9/2 23:00,0.740740741,0.165217391,0.164502165,0.493975904,0.783783784
2022/9/3 0:00,0.703703704,0.134782609,0.134199134,0.542168675,0.783783784
2022/9/3 1:00,0.703703704,0.134782609,0.134199134,0.542168675,0.783783784
2022/9/3 2:00,0.666666667,0.1,0.0995671,0.638554217,0.810810811
2022/9/3 3:00,0.666666667,0.065217391,0.064935065,0.590361446,0.783783784
2022/9/3 4:00,0.666666667,0.065217391,0.064935065,0.590361446,0.783783784
2022/9/3 5:00,0.62962963,0.1,0.0995671,0.638554217,0.783783784
2022/9/3 6:00,0.62962963,0.1,0.0995671,0.578313253,0.756756757
2022/9/3 7:00,0.62962963,0.1,0.0995671,0.578313253,0.756756757
2022/9/3 8:00,0.703703704,0.134782609,0.134199134,0.493975904,0.756756757
2022/9/3 9:00,0.740740741,0.134782609,0.134199134,0.409638554,0.72972973
2022/9/3 10:00,0.814814815,0.1,0.0995671,0.34939759,0.72972973
2022/9/3 11:00,0.814814815,0.1,0.0995671,0.34939759,0.72972973
2022/9/3 12:00,0.851851852,0.065217391,0.064935065,0.313253012,0.72972973
2022/9/3 13:00,0.851851852,0.034782609,0.034632035,0.313253012,0.72972973
2022/9/3 14:00,0.888888889,0.034782609,0.034632035,0.34939759,0.783783784
2022/9/3 15:00,0.851851852,0,0,0.421686747,0.810810811
2022/9/3 16:00,0.888888889,0,0,0.34939759,0.783783784
2022/9/3 17:00,0.888888889,0,0,0.325301205,0.756756757
2022/9/3 18:00,0.851851852,0,0,0.34939759,0.756756757
2022/9/3 19:00,0.814814815,0.034782609,0.034632035,0.385542169,0.756756757
2022/9/3 20:00,0.777777778,0.034782609,0.034632035,0.421686747,0.756756757
2022/9/3 21:00,0.777777778,0.065217391,0.064935065,0.421686747,0.756756757
2022/9/3 22:00,0.740740741,0.1,0.0995671,0.457831325,0.756756757
2022/9/3 23:00,0.740740741,0.1,0.0995671,0.457831325,0.756756757
2022/9/4 0:00,0.740740741,0.065217391,0.064935065,0.457831325,0.756756757
2022/9/4 1:00,0.703703704,0.065217391,0.064935065,0.542168675,0.783783784
2022/9/4 2:00,0.740740741,0.065217391,0.064935065,0.493975904,0.783783784
2022/9/4 3:00,0.740740741,0.065217391,0.064935065,0.493975904,0.783783784
2022/9/4 4:00,0.740740741,0.065217391,0.064935065,0.457831325,0.756756757
2022/9/4 5:00,0.666666667,0.065217391,0.064935065,0.590361446,0.783783784
2022/9/4 6:00,0.703703704,0.1,0.0995671,0.493975904,0.756756757
2022/9/4 7:00,0.703703704,0.1,0.0995671,0.493975904,0.756756757
2022/9/4 8:00,0.740740741,0.134782609,0.134199134,0.457831325,0.756756757
2022/9/4 9:00,0.777777778,0.134782609,0.134199134,0.457831325,0.783783784
2022/9/4 10:00,0.814814815,0.134782609,0.134199134,0.421686747,0.783783784
2022/9/4 11:00,0.851851852,0.1,0.0995671,0.34939759,0.756756757
2022/9/4 12:00,0.851851852,0.065217391,0.064935065,0.34939759,0.756756757
2022/9/4 13:00,0.888888889,0.065217391,0.064935065,0.34939759,0.783783784
2022/9/4 14:00,0.888888889,0.034782609,0.034632035,0.385542169,0.810810811
2022/9/4 15:00,0.888888889,0,0,0.34939759,0.783783784
2022/9/4 16:00,0.925925926,0,0,0.325301205,0.783783784
2022/9/4 17:00,0.925925926,0,0,0.325301205,0.783783784
2022/9/4 18:00,0.888888889,0.034782609,0.034632035,0.34939759,0.783783784
2022/9/4 19:00,0.851851852,0.034782609,0.034632035,0.421686747,0.810810811
2022/9/4 20:00,0.814814815,0.065217391,0.064935065,0.457831325,0.810810811
2022/9/4 21:00,0.814814815,0.1,0.0995671,0.457831325,0.810810811
2022/9/4 22:00,0.814814815,0.1,0.0995671,0.421686747,0.783783784
2022/9/4 23:00,0.777777778,0.1,0.0995671,0.457831325,0.783783784
2022/9/5 0:00,0.740740741,0.1,0.0995671,0.542168675,0.810810811
2022/9/5 1:00,0.740740741,0.1,0.0995671,0.493975904,0.783783784
2022/9/5 2:00,0.740740741,0.1,0.0995671,0.457831325,0.756756757
2022/9/5 3:00,0.703703704,0.065217391,0.064935065,0.493975904,0.756756757
2022/9/5 4:00,0.703703704,0.065217391,0.064935065,0.493975904,0.756756757
2022/9/5 5:00,0.703703704,0.1,0.0995671,0.493975904,0.756756757
2022/9/5 6:00,0.703703704,0.1,0.0995671,0.457831325,0.72972973
2022/9/5 7:00,0.703703704,0.1,0.0995671,0.493975904,0.756756757
2022/9/5 8:00,0.740740741,0.134782609,0.134199134,0.457831325,0.756756757
2022/9/5 9:00,0.777777778,0.134782609,0.134199134,0.421686747,0.756756757
2022/9/5 10:00,0.814814815,0.134782609,0.134199134,0.385542169,0.756756757
2022/9/5 11:00,0.888888889,0.134782609,0.134199134,0.289156627,0.72972973
2022/9/5 12:00,0.888888889,0.134782609,0.134199134,0.325301205,0.756756757
2022/9/5 13:00,0.925925926,0.1,0.0995671,0.325301205,0.783783784
2022/9/5 14:00,0.888888889,0.065217391,0.064935065,0.385542169,0.810810811
2022/9/5 15:00,0.925925926,0.065217391,0.064935065,0.361445783,0.810810811
2022/9/5 16:00,0.925925926,0.065217391,0.064935065,0.289156627,0.756756757
2022/9/5 17:00,0.925925926,0.065217391,0.064935065,0.265060241,0.72972973
2022/9/5 18:00,0.888888889,0.065217391,0.064935065,0.289156627,0.72972973
2022/9/5 19:00,0.851851852,0.1,0.0995671,0.34939759,0.756756757
2022/9/5 20:00,0.814814815,0.134782609,0.134199134,0.385542169,0.756756757
2022/9/5 21:00,0.777777778,0.134782609,0.134199134,0.457831325,0.783783784
2022/9/5 22:00,0.777777778,0.165217391,0.164502165,0.457831325,0.783783784
2022/9/5 23:00,0.740740741,0.165217391,0.164502165,0.542168675,0.810810811
2022/9/6 0:00,0.740740741,0.165217391,0.164502165,0.542168675,0.810810811
2022/9/6 1:00,0.777777778,0.165217391,0.164502165,0.421686747,0.756756757
2022/9/6 2:00,0.777777778,0.134782609,0.134199134,0.421686747,0.756756757
2022/9/6 3:00,0.777777778,0.134782609,0.134199134,0.421686747,0.756756757
2022/9/6 4:00,0.740740741,0.134782609,0.134199134,0.457831325,0.756756757
2022/9/6 5:00,0.740740741,0.165217391,0.164502165,0.409638554,0.72972973
2022/9/6 6:00,0.740740741,0.165217391,0.164502165,0.457831325,0.756756757
2022/9/6 7:00,0.740740741,0.2,0.199134199,0.457831325,0.756756757
2022/9/6 8:00,0.777777778,0.234782609,0.233766234,0.421686747,0.756756757
2022/9/6 9:00,0.814814815,0.234782609,0.233766234,0.385542169,0.756756757
2022/9/6 10:00,0.851851852,0.234782609,0.233766234,0.34939759,0.756756757
2022/9/6 11:00,0.888888889,0.234782609,0.233766234,0.289156627,0.72972973
2022/9/6 12:00,0.925925926,0.234782609,0.233766234,0.289156627,0.756756757
2022/9/6 13:00,0.962962963,0.2,0.199134199,0.289156627,0.783783784
2022/9/6 14:00,0.925925926,0.2,0.199134199,0.361445783,0.810810811
2022/9/6 15:00,0.888888889,0.2,0.199134199,0.421686747,0.837837838
2022/9/6 16:00,0.888888889,0.2,0.199134199,0.421686747,0.837837838
2022/9/6 17:00,0.814814815,0.2,0.199134199,0.542168675,0.864864865
2022/9/6 18:00,0.814814815,0.234782609,0.233766234,0.590361446,0.891891892
2022/9/6 19:00,0.851851852,0.265217391,0.264069264,0.421686747,0.810810811
2022/9/6 20:00,0.814814815,0.265217391,0.264069264,0.506024096,0.837837838
2022/9/6 21:00,0.814814815,0.32173913,0.32034632,0.506024096,0.837837838
2022/9/6 22:00,0.777777778,0.32173913,0.32034632,0.638554217,0.891891892
2022/9/6 23:00,0.777777778,0.32173913,0.32034632,0.590361446,0.864864865
2022/9/7 0:00,0.740740741,0.32173913,0.32034632,0.638554217,0.864864865
2022/9/7 1:00,0.740740741,0.32173913,0.32034632,0.638554217,0.864864865
2022/9/7 2:00,0.740740741,0.32173913,0.32034632,0.686746988,0.891891892
2022/9/7 3:00,0.740740741,0.32173913,0.32034632,0.686746988,0.891891892
2022/9/7 4:00,0.740740741,0.32173913,0.32034632,0.686746988,0.891891892
2022/9/7 5:00,0.703703704,0.32173913,0.32034632,0.746987952,0.891891892
2022/9/7 6:00,0.703703704,0.356521739,0.354978355,0.746987952,0.891891892
2022/9/7 7:00,0.740740741,0.386956522,0.385281385,0.686746988,0.891891892
2022/9/7 8:00,0.740740741,0.386956522,0.385281385,0.686746988,0.891891892
2022/9/7 9:00,0.740740741,0.42173913,0.41991342,0.686746988,0.891891892
2022/9/7 10:00,0.814814815,0.42173913,0.41991342,0.590361446,0.891891892
2022/9/7 11:00,0.814814815,0.42173913,0.41991342,0.590361446,0.891891892
2022/9/7 12:00,0.814814815,0.42173913,0.41991342,0.590361446,0.891891892
2022/9/7 13:00,0.851851852,0.386956522,0.385281385,0.554216867,0.891891892
2022/9/7 14:00,0.851851852,0.386956522,0.385281385,0.554216867,0.891891892
2022/9/7 15:00,0.851851852,0.356521739,0.354978355,0.554216867,0.891891892
2022/9/7 16:00,0.851851852,0.32173913,0.32034632,0.554216867,0.891891892
2022/9/7 17:00,0.814814815,0.32173913,0.32034632,0.590361446,0.891891892
2022/9/7 18:00,0.814814815,0.356521739,0.354978355,0.542168675,0.864864865
2022/9/7 19:00,0.777777778,0.386956522,0.385281385,0.590361446,0.864864865
2022/9/7 20:00,0.777777778,0.42173913,0.41991342,0.590361446,0.864864865
2022/9/7 21:00,0.740740741,0.42173913,0.41991342,0.686746988,0.891891892
2022/9/7 22:00,0.740740741,0.452173913,0.45021645,0.686746988,0.891891892
2022/9/7 23:00,0.740740741,0.452173913,0.45021645,0.686746988,0.891891892
2022/9/8 0:00,0.740740741,0.452173913,0.45021645,0.686746988,0.891891892
2022/9/8 1:00,0.740740741,0.452173913,0.45021645,0.686746988,0.891891892
2022/9/8 2:00,0.703703704,0.42173913,0.41991342,0.746987952,0.891891892
2022/9/8 3:00,0.703703704,0.42173913,0.41991342,0.746987952,0.891891892
2022/9/8 4:00,0.703703704,0.386956522,0.385281385,0.746987952,0.891891892
2022/9/8 5:00,0.703703704,0.386956522,0.385281385,0.686746988,0.864864865
